STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,STATE,REGION,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-29,MONTANA,WEST,0,1,1,-11,-25,-18
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-29,MONTANA,WEST,0,1,2,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-29,MONTANA,WEST,0.1,2.5,27,6,-4,1
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-30,MONTANA,WEST,0,0,3,7,-13,-3
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-30,MONTANA,WEST,0.1,2.4,27,27,11,19
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-30,MONTANA,WEST,0,1,2,-10,-26,-18
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-30,MONTANA,WEST,0,0,2,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-30,MONTANA,WEST,0.2,4,28,26,6,16
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-31,MONTANA,WEST,0,0,2,34,-15,9.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-31,MONTANA,WEST,0.1,2,27,32,19,25.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-31,MONTANA,WEST,0,0,2,-4,-17,-10.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-31,MONTANA,WEST,0,0,1,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-31,MONTANA,WEST,0.1,4,28,27,22,24.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-02-01,MONTANA,WEST,0,0,2,38,20,29
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-02-01,MONTANA,WEST,0.2,2,27,35,25,30
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-02-01,MONTANA,WEST,0,0,2,38,-13,12.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-02-01,MONTANA,WEST,0,0,0,55.1,33.9,44.5
